region_key,scenario_name,year,regional_active_licensed_count,regional_diesel_ml,regional_scr_diesel_ml,regional_def_central_ml,def_low_ml,def_high_ml
ASHBURTON DISTRICT,baseline_current_structure,2026,1768.4185532470422,11.548300232706268,2.9850375965857845,0.1194015038634313,0.08955112789757354,0.14925187982928922
AUCKLAND,baseline_current_structure,2026,2522.647686898933,16.627994866371708,4.528224253227087,0.1811289701290834,0.1358467275968126,0.22641121266135436
BULLER DISTRICT,baseline_current_structure,2026,110.98841930741162,0.7489319635990345,0.2006445343007954,0.0080257813720318,0.006019336029023862,0.01003222671503977
CARTERTON DISTRICT,baseline_current_structure,2026,126.71010234723924,0.8266526635896172,0.2047860095492813,0.0081914403819712,0.006143580286478439,0.010239300477464066
CENTRAL HAWKE'S BAY DISTRICT,baseline_current_structure,2026,211.98485858825947,1.4005342712112343,0.381599187863667,0.0152639675145466,0.01144797563591001,0.01907995939318335
CENTRAL OTAGO DISTRICT,baseline_current_structure,2026,466.6735547544266,3.072535368262651,0.7988469146038337,0.0319538765841533,0.02396540743811501,0.03994234573019169
CHRISTCHURCH CITY,baseline_current_structure,2026,910.1734148153114,5.884893087787286,1.541085409123813,0.0616434163649525,0.04623256227371439,0.07705427045619066
CLUTHA DISTRICT,baseline_current_structure,2026,536.8436572920551,3.503162937645409,0.8839585262500417,0.0353583410500016,0.02651875578750125,0.044197926312502085
DUNEDIN CITY,baseline_current_structure,2026,429.1766313633356,2.710703263443168,0.6249525973593087,0.0249981038943723,0.01874857792077926,0.031247629867965438
FAR NORTH DISTRICT,baseline_current_structure,2026,412.1981170378139,2.5085428695882968,0.5237382333738451,0.0209495293349538,0.01571214700121535,0.026186911668692255
GISBORNE DISTRICT,baseline_current_structure,2026,499.9477273352256,3.139883170848878,0.7329720002837433,0.0293188800113497,0.0219891600085123,0.03664860001418717
GORE DISTRICT,baseline_current_structure,2026,621.708268833004,4.124921625298516,1.0947897251794223,0.0437915890071769,0.03284369175538267,0.05473948625897112
GREY DISTRICT,baseline_current_structure,2026,115.4198208432868,0.7344804283165991,0.1788377297778335,0.0071535091911133,0.0053651318933350045,0.008941886488891675
