region_key,annual_diesel_litres,active_licensed_count_geo_cohort,scr_diesel_litres,def_low_litres,def_central_litres,def_high_litres,diesel_litres_stage_v,diesel_litres_tier_1,diesel_litres_tier_2,diesel_litres_tier_3,diesel_litres_tier_4f,diesel_litres_tier_4i,diesel_litres_unregulated,regional_active_licensed_count,regional_diesel_litres,regional_diesel_ml,regional_scr_diesel_litres,regional_scr_diesel_ml,regional_def_central_ml,share_of_national_fleet,share_of_national_diesel,share_of_national_def_central
AUCKLAND,16627994.866371708,2522.647686898933,4528224.253227087,135846.7275968126,181128.97012908343,226411.21266135437,1235099.679541455,302141.7508346765,1215809.87400433,7645116.651769234,3293124.573685632,2176688.707683831,760013.6288525488,2522.647686898933,16627994.866371708,16.627994866371708,4528224.253227087,4.528224253227087,0.18112897012908344,0.0807118181955422,0.08158976211921909,0.08625184895854121
ASHBURTON DISTRICT,11548300.232706267,1768.4185532470422,2985037.5965857846,89551.12789757353,119401.50386343138,149251.87982928925,800157.6748881852,191646.68697938533,930992.9626846714,5459894.26038391,2184879.9216976,1496624.5384352962,484104.1876372201,1768.4185532470422,11548300.232706267,11.548300232706268,2985037.5965857846,2.9850375965857845,0.11940150386343139,0.05658034512887468,0.05666486407049411,0.056857831573336695
MARLBOROUGH DISTRICT,9615131.293152664,1412.725332323812,2701453.205601925,81043.59616805773,108058.12822407698,135072.66028009623,729955.8317713297,78774.07598079389,685089.4232968962,4624585.353049247,1971497.3738305948,1314367.7427374213,210861.49248638205,1412.725332323812,9615131.293152664,9.615131293152665,2701453.205601925,2.701453205601925,0.10805812822407698,0.04519998205652118,0.047179246882012374,0.05145622672995723
SOUTHLAND DISTRICT,9068056.144146442,1365.755014816496,2406377.149189037,72191.3144756711,96255.08596756148,120318.85745945184,643996.7291608396,136394.08019619784,683138.5111846471,4342968.799466973,1762380.420028197,1209896.721893484,289280.88221610367,1365.755014816496,9068056.144146442,9.068056144146443,2406377.149189037,2.4063771491890367,0.09625508596756148,0.04369717223217441,0.044494874434975795,0.045835733126781866
MATAMATA-PIAKO DISTRICT,7232557.854348387,1090.7584351102655,1914082.930625184,57422.48791875553,76563.31722500737,95704.14653125922,518289.84867933736,70798.11040604798,603209.0225633584,3483992.470496148,1395793.0819458468,947861.1375138198,212614.18274382903,1090.7584351102655,7232557.854348387,7.232557854348387,1914082.930625184,1.9140829306251839,0.07656331722500737,0.03489868877334077,0.03548850475310118,0.03645870491258244
TIMARU DISTRICT,6884044.131514043,1073.3620645523083,1672173.8566820328,50165.21570046098,66886.95426728131,83608.69283410165,442145.6465021804,138995.1604833123,600004.2295984046,3297598.192991761,1230028.2101798523,864645.270800394,310627.4209581376,1073.3620645523083,6884044.131514043,6.884044131514043,1672173.8566820328,1.6721738566820328,0.0668869542672813,0.03434209392855602,0.03377842774322403,0.03185091524921152
CHRISTCHURCH CITY,5884893.087787285,910.1734148153114,1541085.409123813,46232.56227371439,61643.41636495252,77054.27045619066,421367.8830683137,97530.30118071586,469791.94151363726,2678477.817288878,1119717.5260554994,746615.793660978,351391.8250192629,910.1734148153114,5884893.087787285,5.884893087787286,1541085.409123813,1.541085409123813,0.06164341636495252,0.029120892134285727,0.028875822430078198,0.02935399364226075
HAMILTON CITY,5809363.233345269,861.3303299622937,1646712.6605495785,49401.379816487344,65868.50642198313,82335.63302747892,450509.4147924526,55953.67530621234,421263.2900043232,2714349.311917143,1196203.2457571258,786940.5446309667,184143.750937046,861.3303299622937,5809363.233345269,5.80936323334527,1646712.6605495785,1.6467126605495785,0.06586850642198312,0.027558163337379357,0.0285052147346617,0.031365940318573926
INVERCARGILL CITY,5592236.411996629,845.8582487367748,1469789.5501672623,44093.68650501787,58791.58200669049,73489.47750836312,394405.4819525731,84027.04498543443,416461.370532201,2670937.396554882,1075384.0682146891,735664.6995918874,215356.35016496084,845.8582487367748,5592236.411996629,5.5922364119966295,1469789.5501672623,1.4697895501672624,0.05879158200669049,0.027063135905104084,0.02743982315582708,0.027995977935837326
WAIPA DISTRICT,5534265.582287926,842.1311317947483,1397914.1760574246,41937.42528172274,55916.567042296985,69895.70880287123,375200.0408937961,72809.88874204468,456568.4054896872,2712733.50698614,1022714.1351636284,710928.2034129346,183311.40159969637,842.1311317947483,5534265.582287926,5.534265582287926,1397914.1760574246,1.3979141760574247,0.055916567042296986,0.02694388723372573,0.027155373572831817,0.026626923850863
