tla,weighted_tractor_count,annual_diesel_litres,weighted_scr_tractor_count,scr_diesel_litres,regional_diesel_ml,regional_scr_diesel_ml,def_low_ml,def_central_ml,def_high_ml,scenario_name,baseline_regional_diesel_ml,baseline_def_central_ml,delta_regional_diesel_ml_vs_baseline,delta_def_central_ml_vs_baseline
ASHBURTON DISTRICT,1768.5379074900893,11548300.232706267,239.6610255955053,2985037.5965857846,11.548300232706268,2.9850375965857845,0.0895511278975735,0.1194015038634313,0.1492518798292892,baseline_current_structure,11.548300232706268,0.1194015038634313,0.0,0.0
AUCKLAND,2522.8001626490627,16627994.866371708,362.70160355273447,4528224.253227087,16.627994866371708,4.528224253227087,0.1358467275968126,0.1811289701290834,0.2264112126613543,baseline_current_structure,16.627994866371708,0.1811289701290834,0.0,0.0
BULLER DISTRICT,110.99713321151452,748931.9635990345,16.121738724531827,200644.53430079544,0.7489319635990345,0.2006445343007954,0.0060193360290238,0.0080257813720318,0.0100322267150397,baseline_current_structure,0.7489319635990345,0.0080257813720318,0.0,0.0
CARTERTON DISTRICT,126.71879058284952,826652.6635896172,16.423336795602893,204786.00954928136,0.8266526635896172,0.2047860095492814,0.0061435802864784,0.0081914403819712,0.010239300477464,baseline_current_structure,0.8266526635896172,0.0081914403819712,0.0,0.0
CENTRAL HAWKE'S BAY DISTRICT,212.0013218261553,1400534.2712112344,30.52412142004657,381599.1878636669,1.4005342712112343,0.3815991878636669,0.01144797563591,0.0152639675145466,0.0190799593931833,baseline_current_structure,1.4005342712112343,0.0152639675145466,0.0,0.0
CENTRAL OTAGO DISTRICT,466.7035038640905,3072535.368262651,64.3155855091766,798846.9146038336,3.072535368262651,0.7988469146038336,0.023965407438115,0.0319538765841533,0.0399423457301916,baseline_current_structure,3.072535368262651,0.0319538765841533,0.0,0.0
CHRISTCHURCH CITY,910.2324161618304,5884893.0877872845,123.39638925982116,1541085.4091238128,5.884893087787285,1.5410854091238129,0.0462325622737143,0.0616434163649525,0.0770542704561906,baseline_current_structure,5.884893087787285,0.0616434163649525,0.0,0.0
CLUTHA DISTRICT,536.8790288724092,3503162.937645409,71.1301962479989,883958.5262500416,3.503162937645409,0.8839585262500416,0.0265187557875012,0.0353583410500016,0.044197926312502,baseline_current_structure,3.503162937645409,0.0353583410500016,0.0,0.0
DUNEDIN CITY,429.2020491315996,2710703.263443168,50.336132516199264,624952.5973593089,2.710703263443168,0.6249525973593089,0.0187485779207792,0.0249981038943723,0.0312476298679654,baseline_current_structure,2.710703263443168,0.0249981038943723,0.0,0.0
FAR NORTH DISTRICT,412.2182423402807,2508542.869588297,42.20758767497332,523738.23337384505,2.5085428695882968,0.5237382333738451,0.0157121470012153,0.0209495293349538,0.0261869116686922,baseline_current_structure,2.5085428695882968,0.0209495293349538,0.0,0.0
