tla,weighted_tractor_count,annual_diesel_litres,weighted_scr_tractor_count,scr_diesel_litres,regional_diesel_ml,regional_scr_diesel_ml,def_low_ml,def_central_ml,def_high_ml,scenario_name
ASHBURTON DISTRICT,1768.5379074900893,11548300.232706267,239.66102559550527,2985037.5965857846,11.548300232706268,2.9850375965857845,0.08955112789757354,0.11940150386343139,0.14925187982928925,baseline_current_structure
AUCKLAND,2522.8001626490627,16627994.866371708,362.70160355273447,4528224.253227087,16.627994866371708,4.528224253227087,0.1358467275968126,0.18112897012908347,0.22641121266135433,baseline_current_structure
BULLER DISTRICT,110.99713321151451,748931.9635990345,16.121738724531827,200644.53430079544,0.7489319635990345,0.20064453430079543,0.0060193360290238624,0.008025781372031818,0.010032226715039772,baseline_current_structure
CARTERTON DISTRICT,126.71879058284951,826652.6635896172,16.423336795602893,204786.00954928139,0.8266526635896172,0.2047860095492814,0.006143580286478441,0.008191440381971254,0.01023930047746407,baseline_current_structure
CENTRAL HAWKE'S BAY DISTRICT,212.0013218261553,1400534.2712112344,30.524121420046566,381599.1878636669,1.4005342712112343,0.3815991878636669,0.011447975635910006,0.015263967514546678,0.019079959393183347,baseline_current_structure
CENTRAL OTAGO DISTRICT,466.7035038640905,3072535.368262651,64.3155855091766,798846.9146038336,3.072535368262651,0.7988469146038336,0.023965407438115007,0.03195387658415334,0.03994234573019168,baseline_current_structure
CHRISTCHURCH CITY,910.2324161618305,5884893.0877872845,123.39638925982115,1541085.4091238128,5.884893087787285,1.5410854091238129,0.04623256227371438,0.06164341636495251,0.07705427045619065,baseline_current_structure
CLUTHA DISTRICT,536.8790288724092,3503162.937645409,71.1301962479989,883958.5262500416,3.503162937645409,0.8839585262500416,0.026518755787501246,0.035358341050001664,0.04419792631250208,baseline_current_structure
DUNEDIN CITY,429.20204913159955,2710703.263443168,50.336132516199264,624952.5973593089,2.710703263443168,0.6249525973593089,0.018748577920779264,0.024998103894372355,0.03124762986796544,baseline_current_structure
FAR NORTH DISTRICT,412.21824234028065,2508542.869588297,42.20758767497332,523738.23337384505,2.5085428695882968,0.5237382333738451,0.01571214700121535,0.020949529334953806,0.026186911668692255,baseline_current_structure
GISBORNE DISTRICT,499.97360456645214,3139883.1708488776,58.95924803901248,732972.0002837434,3.1398831708488775,0.7329720002837433,0.0219891600085123,0.029318880011349736,0.03664860001418717,baseline_current_structure
GORE DISTRICT,621.7518611502518,4124921.6252985164,87.98069073511795,1094789.7251794226,4.124921625298517,1.0947897251794227,0.03284369175538268,0.04379158900717691,0.05473948625897113,baseline_current_structure
GREY DISTRICT,115.42613003486466,734480.4283165991,14.359191490349376,178837.72977783356,0.7344804283165991,0.17883772977783358,0.005365131893335007,0.007153509191113342,0.008941886488891678,baseline_current_structure
HAMILTON CITY,861.3882938515482,5809363.23334527,131.84357140339355,1646712.6605495783,5.8093632333452705,1.6467126605495783,0.049401379816487345,0.06586850642198312,0.08233563302747893,baseline_current_structure
HASTINGS DISTRICT,771.7659136619548,5259960.600140723,126.58239313383072,1583852.5098125988,5.259960600140723,1.5838525098125988,0.047515575294377964,0.06335410039250396,0.07919262549062994,baseline_current_structure
HAURAKI DISTRICT,288.3315059921745,1830579.2605902727,36.231037272989155,451289.3729538431,1.8305792605902726,0.4512893729538431,0.013538681188615292,0.018051574918153724,0.022564468647692158,baseline_current_structure
HOROWHENUA DISTRICT,382.0555675313023,2420545.2086886894,46.210150664379604,573893.0408663432,2.4205452086886896,0.5738930408663432,0.017216791225990295,0.022955721634653727,0.02869465204331716,baseline_current_structure
HURUNUI DISTRICT,323.0692323905395,2075917.867712996,39.64296740052891,493300.15349303395,2.075917867712996,0.49330015349303397,0.014799004604791019,0.01973200613972136,0.024665007674651702,baseline_current_structure
INVERCARGILL CITY,845.9160075431454,5592236.411996629,117.98873378152348,1469789.550167262,5.5922364119966295,1.469789550167262,0.04409368650501786,0.05879158200669048,0.07348947750836311,baseline_current_structure
KAIKOURA DISTRICT,60.350164344238564,356117.72678555787,5.5729268774756315,68724.41911520968,0.35611772678555786,0.06872441911520967,0.00206173257345629,0.002748976764608387,0.0034362209557604836,baseline_current_structure
KAIPARA DISTRICT,296.0282722047645,1810338.9632744922,29.720599939824872,367910.15766698326,1.8103389632744922,0.36791015766698326,0.011037304730009497,0.01471640630667933,0.018395507883349163,baseline_current_structure
KAPITI COAST DISTRICT,119.08142340566626,697140.8817103086,11.39440668429224,141681.14294419874,0.6971408817103086,0.14168114294419873,0.004250434288325962,0.00566724571776795,0.007084057147209937,baseline_current_structure
KAWERAU DISTRICT,5.028401204787997,26243.188880353613,0.3757365966198346,4700.465820783177,0.026243188880353614,0.0047004658207831776,0.0001410139746234953,0.00018801863283132708,0.00023502329103915887,baseline_current_structure
LOWER HUTT CITY,39.26108811759057,249045.79789182649,4.758879599592345,59360.517770074155,0.2490457978918265,0.05936051777007415,0.0017808155331022247,0.0023744207108029663,0.0029680258885037077,baseline_current_structure
MACKENZIE DISTRICT,187.65783566349472,1234564.2757044004,25.191152454475933,312681.91797238216,1.2345642757044004,0.31268191797238215,0.009380457539171464,0.012507276718895287,0.01563409589861911,baseline_current_structure
MANAWATU DISTRICT,383.8805722953612,2545036.6168247657,53.498701317280755,665006.6250174436,2.5450366168247656,0.6650066250174436,0.019950198750523306,0.026600265000697742,0.03325033125087218,baseline_current_structure
