tla,weighted_tractor_count,annual_diesel_litres,weighted_scr_tractor_count,scr_diesel_litres,regional_diesel_ml,regional_scr_diesel_ml,def_low_ml,def_central_ml,def_high_ml,scenario_name,baseline_regional_diesel_ml,baseline_def_central_ml,delta_regional_diesel_ml_vs_baseline,delta_def_central_ml_vs_baseline
AUCKLAND,2522.8001626490627,18849944.90343433,642.9469486445018,8388982.967978027,18.84994490343433,8.388982967978027,0.2516694890393408,0.3355593187191211,0.4194491483989013,accelerated_modernization,16.627994866371708,0.1811289701290834,2.221950037062623,0.15443034859003768
ASHBURTON DISTRICT,1768.537907490089,13103037.402600698,435.1546910613811,5651471.925575133,13.103037402600698,5.651471925575134,0.1695441577672539,0.2260588770230053,0.2825735962787566,accelerated_modernization,11.548300232706268,0.1194015038634313,1.5547371698944303,0.106657373159574
MARLBOROUGH DISTRICT,1412.8133844334366,10939574.5517004,385.9939368951617,5029911.57932828,10.9395745517004,5.02991157932828,0.1508973473798484,0.2011964631731312,0.251495578966414,accelerated_modernization,9.615131293152665,0.1080581282240769,1.3244432585477348,0.0931383349490543
SOUTHLAND DISTRICT,1365.8541558950028,10294168.12544855,350.3062547753776,4550297.127471344,10.294168125448548,4.550297127471343,0.1365089138241403,0.1820118850988537,0.2275148563735672,accelerated_modernization,9.068056144146444,0.0962550859675614,1.226111981302104,0.08575679913129229
MATAMATA-PIAKO DISTRICT,1090.8343014353586,8231549.009722415,277.63896620570017,3609637.15656475,8.231549009722416,3.60963715656475,0.1082891146969424,0.1443854862625899,0.1804818578282375,accelerated_modernization,7.232557854348387,0.0765633172250073,0.9989911553740294,0.0678221690375826
TIMARU DISTRICT,1073.432502865356,7801003.130784231,249.41913917485192,3226671.154876864,7.801003130784231,3.2266711548768634,0.0968001346463059,0.1290668461950745,0.1613335577438431,accelerated_modernization,6.884044131514043,0.0668869542672813,0.9169589992701885,0.06217989192779319
HAMILTON CITY,861.3882938515482,6610887.896132117,232.4766699164245,3036327.233333246,6.610887896132117,3.036327233333246,0.0910898169999973,0.1214530893333298,0.1518163616666623,accelerated_modernization,5.809363233345271,0.0658685064219831,0.8015246627868455,0.0555845829113467
CHRISTCHURCH CITY,910.2324161618304,6667424.857050524,220.2968953309762,2871508.429530429,6.667424857050524,2.8715084295304294,0.0861452528859128,0.1148603371812171,0.1435754214765214,accelerated_modernization,5.884893087787285,0.0616434163649525,0.7825317692632394,0.053216920816264605
INVERCARGILL CITY,845.9160075431454,6336916.387123297,213.9059413095033,2778859.5084913946,6.336916387123297,2.7788595084913945,0.0833657852547418,0.1111543803396557,0.1389429754245697,accelerated_modernization,5.5922364119966295,0.0587915820066904,0.744679975126668,0.0523627983329653
WAIPA DISTRICT,842.1897176348002,6275765.478388098,206.72334579585893,2678967.570440765,6.275765478388098,2.678967570440765,0.0803690271132229,0.1071587028176306,0.1339483785220382,accelerated_modernization,5.534265582287926,0.0559165670422969,0.741499896100172,0.051242135775333694
HASTINGS DISTRICT,771.7659136619548,5985604.596760672,217.72592466050884,2857069.3929911167,5.985604596760672,2.8570693929911166,0.0857120817897335,0.1142827757196446,0.1428534696495558,accelerated_modernization,5.259960600140723,0.0633541003925039,0.725643996619949,0.050928675327140696
TASMAN DISTRICT,867.4433169845639,6011087.221886123,176.87761615410122,2280665.5585797145,6.011087221886123,2.2806655585797144,0.0684199667573914,0.0912266223431885,0.1140332779289857,accelerated_modernization,5.33159561090429,0.0464457347225647,0.6794916109818327,0.0447808876206238
WAIKATO DISTRICT,733.0743901278075,5445182.934579273,178.92128557773754,2314185.3750630245,5.445182934579273,2.3141853750630244,0.0694255612518907,0.0925674150025209,0.1157092687531512,accelerated_modernization,4.795341988475544,0.0479720179032039,0.6498409461037289,0.044595397099317
PALMERSTON NORTH CITY,742.2436245459617,5471261.111306377,178.72510686475516,2325320.7288257387,5.471261111306377,2.3253207288257385,0.0697596218647721,0.0930128291530295,0.1162660364412869,accelerated_modernization,4.810163628036168,0.0494460060347705,0.6610974832702086,0.043566823118259
WAITAKI DISTRICT,695.762179642879,5030208.161000246,159.7058292987744,2067369.1152519796,5.030208161000246,2.0673691152519797,0.0620210734575593,0.0826947646100791,0.1033684557625989,accelerated_modernization,4.430342683132397,0.0430080207308692,0.5998654778678487,0.0396867438792099
AUCKLAND,2522.8001626490627,17130979.400619097,406.393229177579,5138576.038849304,17.130979400619097,5.138576038849304,0.1541572811654791,0.2055430415539721,0.2569288019424652,delayed_replacement,16.627994866371708,0.1811289701290834,0.5029845342473891,0.02441407142488869
