alternative_motive_power,basic_colour,body_type,cc_rating,chassis7,class,engine_number,first_nz_registration_year,first_nz_registration_month,gross_vehicle_mass,height,import_status,industry_class,industry_model_code,make,model,motive_power,mvma_model_code,number_of_axles,number_of_seats,nz_assembled,original_country,power_rating,previous_country,road_transport_code,submodel,tla,postcode,transmission_type,vdam_weight,vehicle_type,vehicle_usage,vehicle_year,vin11,width,synthetic_greenhouse_gas,fc_combined,fc_urban,fc_extra_urban
,RED,TRACTOR,2523,B50C313,,,1963.0,8.0,0.0,0,NEW,PRIVATE,,DAVID BROWN,850C,DIESEL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,MARLBOROUGH DISTRICT,7272,,0,TRACTOR,OTHER,1963,,0,,,,
,RED,TRACTOR,2300,206610,,1833644,1961.0,5.0,0.0,0,NEW,AGRICULTURE/FORESTRY/FISHING,,FERGUSON,1961,DIESEL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,WHANGAREI DISTRICT,0,,0,TRACTOR,OTHER,1961,,0,,,,
,RED,TRACTOR,4500,17864,,,1970.0,12.0,1999.0,0,NEW,PRIVATE,,INTERNATIONAL,IH B414,DIESEL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,THAMES-COROMANDEL DISTRICT,3575,,0,TRACTOR,AGRICULTURAL,1967,,0,,,,
,RED,TRACTOR,2492,M443731,,374726D,1975.0,2.0,0.0,0,NEW,UNKNOWN,,MASSEY,135,DIESEL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,AUCKLAND,1025,,0,TRACTOR,OTHER,1975,,0,,,,
,RED,TRACTOR,2385,452775,,152UA411173,1975.0,10.0,0.0,0,NEW,PRIVATE,,MASSEY,135D,DIESEL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,AUCKLAND,1050,,0,TRACTOR,OTHER,1975,,0,,,,
,GREEN,TRACTOR,3590,203SB23,,4219DL-03283029CD,1977.0,4.0,0.0,0,NEW,UNKNOWN,,JOHN DEERE,2030,DIESEL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,AUCKLAND,2681,,0,TRACTOR,AGRICULTURAL,1977,,0,,,,
,ORANGE,TRACTOR,3666,675024,,765154,1979.0,12.0,0.0,0,NEW,AGRICULTURE/FORESTRY/FISHING,,FIAT,780DT,DIESEL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,WAITAKI DISTRICT,0,,0,TRACTOR,AGRICULTURAL,1979,,0,,,,
,BLUE,TRACTOR,3293,A356775,,32263,1979.0,3.0,0.0,0,NEW,AGRICULTURE/FORESTRY/FISHING,,FORD,4600,DIESEL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,HURUNUI DISTRICT,7481,,0,TRACTOR,OTHER,1979,,0,,,,
,RED,TRACTOR,4034,D001530,,123485,1981.0,10.0,0.0,0,NEW,PRIVATE,,INTERNATIONAL,H84,DIESEL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,SELWYN DISTRICT,7602,,0,TRACTOR,AGRICULTURAL,1981,,0,,,,
,BLUE,TRACTOR,1429,U909022,,LEM85327908,1983.0,8.0,0.0,0,NEW,PRIVATE,,FORD,1900,DIESEL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,ASHBURTON DISTRICT,0,,0,TRACTOR,OTHER,1983,,0,,,,
