cohort,fleet,tier,count,share,share_pct
Pre-1996,1844,Unregulated,1844,1.0,100.0
1996-1999,1103,Unregulated,331,0.300091,30.01
1996-1999,1103,Tier 1,772,0.699909,69.99
2000-2005,3850,Tier 1,192,0.04987,4.99
2000-2005,3850,Tier 2,2888,0.75013,75.01
2000-2005,3850,Tier 3,770,0.2,20.0
2006-2010,3735,Tier 2,1120,0.299866,29.99
2006-2010,3735,Tier 3,2428,0.650067,65.01
2006-2010,3735,Tier 4i,187,0.050067,5.01
2011-2013,2893,Tier 2,434,0.150017,15.0
2011-2013,2893,Tier 3,1736,0.600069,60.01
2011-2013,2893,Tier 4i,579,0.200138,20.01
2011-2013,2893,Tier 4f,145,0.050121,5.01
2014-2018,7309,Tier 2,585,0.080038,8.0
2014-2018,7309,Tier 3,4020,0.550007,55.0
2014-2018,7309,Tier 4i,1608,0.220003,22.0
2014-2018,7309,Tier 4f,950,0.129977,13.0
2014-2018,7309,Stage V,146,0.019975,2.0
2019-2020,3037,Tier 2,152,0.050049,5.0
2019-2020,3037,Tier 3,1367,0.450115,45.01
2019-2020,3037,Tier 4i,790,0.260125,26.01
2019-2020,3037,Tier 4f,607,0.199868,19.99
2019-2020,3037,Stage V,121,0.039842,3.98
2021-2025,7482,Tier 2,150,0.020048,2.0
2021-2025,7482,Tier 3,2993,0.400027,40.0
2021-2025,7482,Tier 4i,2095,0.280005,28.0
2021-2025,7482,Tier 4f,1796,0.240043,24.0
2021-2025,7482,Stage V,449,0.060011,6.0
