region_key,scenario_name,year,regional_active_licensed_count,regional_diesel_ml,regional_scr_diesel_ml,regional_def_central_ml,def_low_ml,def_high_ml
AUCKLAND,accelerated_modernization,2030,2522.8001626490627,18.84994490343433,8.388982967978027,0.3355593187191211,0.2516694890393408,0.41944914839890135
ASHBURTON DISTRICT,accelerated_modernization,2030,1768.537907490089,13.103037402600698,5.651471925575134,0.2260588770230053,0.169544157767254,0.2825735962787567
MARLBOROUGH DISTRICT,accelerated_modernization,2030,1412.8133844334366,10.9395745517004,5.02991157932828,0.2011964631731312,0.1508973473798484,0.251495578966414
SOUTHLAND DISTRICT,accelerated_modernization,2030,1365.8541558950028,10.294168125448548,4.550297127471343,0.1820118850988537,0.1365089138241403,0.22751485637356716
MATAMATA-PIAKO DISTRICT,accelerated_modernization,2030,1090.8343014353586,8.231549009722416,3.60963715656475,0.1443854862625899,0.1082891146969425,0.1804818578282375
TIMARU DISTRICT,accelerated_modernization,2030,1073.432502865356,7.801003130784231,3.2266711548768634,0.1290668461950745,0.0968001346463059,0.16133355774384317
HAMILTON CITY,accelerated_modernization,2030,861.3882938515482,6.610887896132117,3.036327233333246,0.1214530893333298,0.09108981699999738,0.15181636166666232
CHRISTCHURCH CITY,accelerated_modernization,2030,910.2324161618304,6.667424857050524,2.8715084295304294,0.1148603371812171,0.08614525288591288,0.14357542147652147
HASTINGS DISTRICT,accelerated_modernization,2030,771.7659136619548,5.985604596760672,2.8570693929911166,0.1142827757196446,0.0857120817897335,0.14285346964955584
INVERCARGILL CITY,accelerated_modernization,2030,845.9160075431454,6.336916387123297,2.7788595084913945,0.1111543803396557,0.08336578525474184,0.13894297542456974
WAIPA DISTRICT,accelerated_modernization,2030,842.1897176348002,6.275765478388098,2.678967570440765,0.1071587028176306,0.08036902711322294,0.13394837852203825
PALMERSTON NORTH CITY,accelerated_modernization,2030,742.2436245459617,5.471261111306377,2.3253207288257385,0.0930128291530295,0.06975962186477215,0.11626603644128693
WAIKATO DISTRICT,accelerated_modernization,2030,733.0743901278075,5.445182934579273,2.3141853750630244,0.0925674150025209,0.06942556125189073,0.11570926875315123
TASMAN DISTRICT,accelerated_modernization,2030,867.4433169845639,6.011087221886123,2.2806655585797144,0.0912266223431885,0.06841996675739143,0.11403327792898572
WHANGAREI DISTRICT,accelerated_modernization,2030,622.5160584335971,4.7013466748796695,2.126136768039732,0.0850454707215892,0.06378410304119196,0.10630683840198661
AUCKLAND,baseline_current_structure,2030,2522.8001626490627,16.627994866371708,4.528224253227087,0.1811289701290834,0.1358467275968126,0.22641121266135436
ASHBURTON DISTRICT,baseline_current_structure,2030,1768.5379074900893,11.548300232706268,2.9850375965857845,0.1194015038634313,0.08955112789757354,0.14925187982928922
MARLBOROUGH DISTRICT,baseline_current_structure,2030,1412.8133844334366,9.615131293152665,2.7014532056019247,0.1080581282240769,0.08104359616805774,0.13507266028009624
SOUTHLAND DISTRICT,baseline_current_structure,2030,1365.854155895003,9.068056144146444,2.4063771491890367,0.0962550859675614,0.07219131447567109,0.12031885745945184
MATAMATA-PIAKO DISTRICT,baseline_current_structure,2030,1090.8343014353588,7.232557854348387,1.9140829306251843,0.0765633172250073,0.057422487918755524,0.09570414653125922
TIMARU DISTRICT,baseline_current_structure,2030,1073.432502865356,6.884044131514043,1.6721738566820326,0.0668869542672813,0.05016521570046097,0.08360869283410163
HAMILTON CITY,baseline_current_structure,2030,861.3882938515482,5.809363233345271,1.6467126605495783,0.0658685064219831,0.049401379816487345,0.08233563302747893
HASTINGS DISTRICT,baseline_current_structure,2030,771.7659136619548,5.259960600140723,1.5838525098125988,0.0633541003925039,0.047515575294377964,0.07919262549062994
CHRISTCHURCH CITY,baseline_current_structure,2030,910.2324161618304,5.884893087787285,1.5410854091238129,0.0616434163649525,0.04623256227371438,0.07705427045619065
