tier_assigned,weighted_tractor_count,annual_diesel_litres,annual_diesel_ml,scenario_name
Stage V,715.999731,14099994.702653632,14.099994702653632,baseline_current_structure
Tier 1,963.999127,3299997.0115145226,3.2999970115145225,baseline_current_structure
Tier 2,5328.994882,16799983.86519047,16.79998386519047,baseline_current_structure
Tier 3,13314.002294,96500016.62693405,96.50001662693406,baseline_current_structure
Tier 4f,3498.0027880000002,38400030.605831906,38.40003060583191,baseline_current_structure
Tier 4i,5258.998441,26199992.2331622,26.1999922331622,baseline_current_structure
Unregulated,2175.000373,8500001.45770115,8.500001457701151,baseline_current_structure
Stage V,1240.7001492,24432782.267765366,24.432782267765365,moderate_modernization
Tier 1,1097.44935755,3756828.7136047715,3.7568287136047713,moderate_modernization
Tier 2,4189.5459869,13207801.19720773,13.207801197207731,moderate_modernization
Tier 3,11983.450555700001,86856164.8358908,86.8561648358908,moderate_modernization
Tier 4f,4690.8021727,51494226.25262436,51.494226252624365,moderate_modernization
Tier 4i,6204.2990969,30909419.345651265,30.909419345651266,moderate_modernization
Unregulated,1848.75031705,7225001.239045978,7.2250012390459775,moderate_modernization
Stage V,1765.4005674,34765569.8328771,34.7655698328771,accelerated_modernization
Tier 1,1230.8995881,4213660.41569502,4.21366041569502,accelerated_modernization
Tier 2,3582.9965799999995,11295616.915744042,11.295616915744041,accelerated_modernization
Tier 3,10785.699443900001,78174853.2624568,78.1748532624568,accelerated_modernization
Tier 4f,5883.6015574,64588421.89941682,64.58842189941682,accelerated_modernization
Tier 4i,6483.8996381,32302371.271766495,32.302371271766496,accelerated_modernization
Unregulated,1522.5002611,5950001.020390805,5.950001020390805,accelerated_modernization
Stage V,2115.2008462,41654094.87628492,41.65409487628492,scr_push
Tier 1,976.34923295,3342274.3451607884,3.3422743451607886,scr_push
Tier 2,4626.0455624,14583892.934569338,14.583892934569338,scr_push
Tier 3,12116.2511822,87818705.05350007,87.81870505350007,scr_push
Tier 4f,5394.001008,59213733.19245283,59.213733192452835,scr_push
Tier 4i,3960.8994499,19732946.489328768,19.732946489328768,scr_push
Unregulated,2066.2503543499997,8075001.384816092,8.075001384816092,scr_push
Stage V,890.8998704,17544257.22435754,17.54425722435754,delayed_replacement
Tier 1,976.34923295,3342274.3451607884,3.3422743451607886,delayed_replacement
Tier 2,4626.0455624,14583892.934569338,14.583892934569338,delayed_replacement
Tier 3,13447.6514116,97468706.71619348,97.46870671619348,delayed_replacement
Tier 4f,3849.0024927,42253200.60596912,42.25320060596913,delayed_replacement
Tier 4i,5398.7987116,26896468.196219813,26.896468196219814,delayed_replacement
Unregulated,2066.2503543499997,8075001.384816092,8.075001384816092,delayed_replacement
