cohort,tier_assigned,weighted_tractor_count
1996-1999,Tier 1,771.999627
1996-1999,Unregulated,331.000373
2000-2005,Tier 2,2888.0004999999996
2000-2005,Tier 3,770.0
2000-2005,Tier 1,191.99949999999998
2006-2010,Tier 3,2428.0002449999997
2006-2010,Tier 2,1119.99951
2006-2010,Tier 4i,187.000245
2011-2013,Tier 3,1735.999617
2011-2013,Tier 4i,578.999234
2011-2013,Tier 2,433.999181
2011-2013,Tier 4f,145.000053
2014-2018,Tier 3,4020.0011630000004
2014-2018,Tier 4i,1608.001927
2014-2018,Tier 4f,950.0018930000001
2014-2018,Tier 2,584.997742
2014-2018,Stage V,145.997275
2019-2020,Tier 3,1366.999255
2019-2020,Tier 4i,789.9996249999999
2019-2020,Tier 4f,606.999116
2019-2020,Tier 2,151.998813
2019-2020,Stage V,121.00015400000001
2021-2025,Tier 3,2993.002014
2021-2025,Tier 4i,2094.99741
2021-2025,Tier 4f,1796.001726
2021-2025,Stage V,449.002302
2021-2025,Tier 2,149.999136
Pre-1996,Unregulated,1844.0
