region_key,annual_diesel_litres,active_licensed_count_geo_cohort,scr_diesel_litres,def_low_litres,def_central_litres,def_high_litres,diesel_litres_stage_v,diesel_litres_tier_1,diesel_litres_tier_2,diesel_litres_tier_3,diesel_litres_tier_4f,diesel_litres_tier_4i,diesel_litres_unregulated,regional_active_licensed_count,regional_diesel_litres,regional_diesel_ml,regional_scr_diesel_litres,regional_scr_diesel_ml,regional_def_central_ml,share_of_national_fleet,share_of_national_diesel,share_of_national_def_central,region_key_upper,fleet_share_pct,diesel_share_pct,def_share_pct,fleet_to_diesel_share_ratio,def_to_diesel_share_ratio,is_urban_hint,admin_bias_flag
AUCKLAND,16627994.866371708,2522.647686898933,4528224.253227087,135846.7275968126,181128.97012908343,226411.2126613544,1235099.679541455,302141.7508346765,1215809.87400433,7645116.651769234,3293124.573685632,2176688.707683831,760013.6288525488,2522.647686898933,16627994.866371708,16.627994866371708,4528224.253227087,4.528224253227087,0.1811289701290834,0.0807118181955422,0.081589762119219,0.0862518489585412,AUCKLAND,8.07118181955422,8.158976211921901,8.625184895854119,0.9892395332346483,1.0571405862479406,True,True
ASHBURTON DISTRICT,11548300.232706267,1768.4185532470422,2985037.5965857846,89551.12789757353,119401.50386343138,149251.87982928925,800157.6748881852,191646.68697938533,930992.9626846714,5459894.26038391,2184879.9216976,1496624.5384352962,484104.1876372201,1768.4185532470422,11548300.232706267,11.548300232706268,2985037.5965857846,2.9850375965857845,0.1194015038634313,0.0565803451288746,0.0566648640704941,0.0568578315733366,ASHBURTON DISTRICT,5.65803451288746,5.66648640704941,5.68578315733366,0.9985084418182959,1.0034054172017854,False,False
MARLBOROUGH DISTRICT,9615131.293152664,1412.725332323812,2701453.205601925,81043.59616805773,108058.12822407698,135072.66028009623,729955.8317713297,78774.07598079389,685089.4232968962,4624585.353049247,1971497.3738305948,1314367.7427374213,210861.49248638205,1412.725332323812,9615131.293152664,9.615131293152665,2701453.205601925,2.701453205601925,0.1080581282240769,0.0451999820565211,0.0471792468820123,0.0514562267299572,MARLBOROUGH DISTRICT,4.51999820565211,4.717924688201229,5.14562267299572,0.9580479775261987,1.090653838935601,False,False
SOUTHLAND DISTRICT,9068056.144146442,1365.755014816496,2406377.149189037,72191.3144756711,96255.08596756148,120318.85745945184,643996.7291608396,136394.08019619784,683138.5111846471,4342968.799466973,1762380.420028197,1209896.721893484,289280.88221610367,1365.755014816496,9068056.144146442,9.068056144146444,2406377.149189037,2.4063771491890367,0.0962550859675614,0.0436971722321744,0.0444948744349757,0.0458357331267818,SOUTHLAND DISTRICT,4.36971722321744,4.44948744349757,4.58357331267818,0.9820720428379441,1.0301351269968322,False,False
MATAMATA-PIAKO DISTRICT,7232557.854348387,1090.7584351102655,1914082.930625184,57422.48791875553,76563.31722500737,95704.14653125922,518289.84867933736,70798.11040604798,603209.0225633584,3483992.470496148,1395793.0819458468,947861.1375138198,212614.18274382903,1090.7584351102655,7232557.854348387,7.232557854348387,1914082.930625184,1.914082930625184,0.0765633172250073,0.0348986887733407,0.0354885047531011,0.0364587049125824,MATAMATA-PIAKO DISTRICT,3.4898688773340703,3.5488504753101098,3.64587049125824,0.983380083667547,1.0273384344094272,False,False
TIMARU DISTRICT,6884044.131514043,1073.3620645523083,1672173.8566820328,50165.21570046098,66886.95426728131,83608.69283410165,442145.6465021804,138995.1604833123,600004.2295984046,3297598.192991761,1230028.2101798523,864645.270800394,310627.4209581376,1073.3620645523083,6884044.131514043,6.884044131514043,1672173.8566820328,1.6721738566820328,0.0668869542672813,0.034342093928556,0.033778427743224,0.0318509152492115,TIMARU DISTRICT,3.4342093928556,3.3778427743224,3.18509152492115,1.0166871646488955,0.9429365834116076,False,False
CHRISTCHURCH CITY,5884893.087787285,910.1734148153114,1541085.409123813,46232.56227371439,61643.41636495252,77054.27045619066,421367.8830683137,97530.30118071586,469791.94151363726,2678477.817288878,1119717.5260554994,746615.793660978,351391.8250192629,910.1734148153114,5884893.087787285,5.884893087787286,1541085.409123813,1.541085409123813,0.0616434163649525,0.0291208921342857,0.0288758224300781,0.0293539936422607,CHRISTCHURCH CITY,2.91208921342857,2.88758224300781,2.93539936422607,1.0084870207524315,1.016559570323598,True,True
TASMAN DISTRICT,5331595.61090429,867.4018318497768,1161143.3680641192,34834.30104192358,46445.73472256477,58057.16840320597,305362.0951671245,136353.44143520086,518889.296994252,2514126.789736163,855781.2728969946,606897.2503623699,394185.4643121853,867.4018318497768,5331595.61090429,5.33159561090429,1161143.3680641192,1.1611433680641192,0.0464457347225647,0.0277524203313549,0.0261609184453923,0.0221170058726894,TASMAN DISTRICT,2.7752420331354903,2.61609184453923,2.2117005872689397,1.0608350922114858,0.845421613115607,False,False
HAMILTON CITY,5809363.233345269,861.3303299622937,1646712.6605495785,49401.379816487344,65868.50642198313,82335.63302747892,450509.4147924526,55953.67530621234,421263.2900043232,2714349.311917143,1196203.2457571258,786940.5446309667,184143.750937046,861.3303299622937,5809363.233345269,5.80936323334527,1646712.6605495785,1.6467126605495783,0.0658685064219831,0.0275581633373793,0.0285052147346617,0.0313659403185739,HAMILTON CITY,2.75581633373793,2.85052147346617,3.1365940318573897,0.9667762054733513,1.1003579734634876,True,True
INVERCARGILL CITY,5592236.411996629,845.8582487367748,1469789.5501672623,44093.68650501787,58791.58200669049,73489.47750836312,394405.4819525731,84027.04498543443,416461.370532201,2670937.396554882,1075384.0682146891,735664.6995918874,215356.35016496084,845.8582487367748,5592236.411996629,5.5922364119966295,1469789.5501672623,1.4697895501672624,0.0587915820066904,0.027063135905104,0.027439823155827,0.0279959779358373,INVERCARGILL CITY,2.7063135905104,2.7439823155827,2.7995977935837297,0.9862722420409256,1.0202681619648921,True,True
WAIPA DISTRICT,5534265.582287926,842.1311317947483,1397914.1760574246,41937.42528172274,55916.567042296985,69895.70880287123,375200.0408937961,72809.88874204468,456568.4054896872,2712733.50698614,1022714.1351636284,710928.2034129346,183311.4015996964,842.1311317947483,5534265.582287926,5.534265582287926,1397914.1760574246,1.3979141760574247,0.0559165670422969,0.0269438872337257,0.0271553735728318,0.026626923850863,WAIPA DISTRICT,2.6943887233725703,2.71553735728318,2.6626923850863,0.9922119893309925,0.9805397734429439,False,False
HASTINGS DISTRICT,5259960.6001407225,771.715707507632,1583852.5098125988,47515.575294377966,63354.10039250396,79192.62549062994,438975.1312613377,71204.53793267932,334373.7792975725,2360288.132671588,1144877.378551261,729590.6997780257,180650.9406482589,771.715707507632,5259960.6001407225,5.259960600140722,1583852.5098125988,1.5838525098125988,0.0633541003925039,0.0246909539554326,0.0258094218557808,0.0301686046912553,HASTINGS DISTRICT,2.4690953955432597,2.58094218557808,3.0168604691255303,0.9566643566602138,1.1688988951334502,False,False
PALMERSTON NORTH CITY,4810163.628036168,742.2003726826492,1236150.1508692638,37084.50452607792,49446.00603477055,61807.5075434632,337213.3981916222,83935.59779402582,436809.7620807919,2271955.1311136503,898936.7526776416,602414.7357876246,178898.25039081197,742.2003726826492,4810163.628036168,4.810163628036168,1236150.1508692638,1.2361501508692638,0.0494460060347705,0.0237466142639464,0.0236023711409544,0.0235457058088211,PALMERSTON NORTH CITY,2.3746614263946397,2.3602371140954403,2.3545705808821102,1.0061113827136507,0.9975991678211104,True,True
WAIKATO DISTRICT,4795341.988475543,733.0244464761621,1199300.4475800977,35979.013427402926,47972.0179032039,59965.02237900488,315134.42920369154,75543.0549815647,404268.6327911319,2347670.755456335,884166.0183764059,622569.570743484,145989.52692293082,733.0244464761621,4795341.988475543,4.795341988475544,1199300.4475800977,1.1993004475800977,0.0479720179032039,0.0234530315763599,0.0235296447505696,0.022843807036913,WAIKATO DISTRICT,2.34530315763599,2.35296447505696,2.2843807036913,0.9967439723369456,0.9708521857883131,False,False
WAITAKI DISTRICT,4430342.683132398,695.7185928295519,1075200.5182717298,32256.01554815189,43008.0207308692,53760.02591358649,284220.3325005894,86932.93593835701,408694.6051651855,2094862.1031173088,790980.1857711406,551962.9165393462,212689.60410047,695.7185928295519,4430342.683132398,4.430342683132398,1075200.5182717298,1.07520051827173,0.0430080207308692,0.0222594351448042,0.0217386767633919,0.0204799999991227,WAITAKI DISTRICT,2.22594351448042,2.17386767633919,2.04799999991227,1.0239553854671257,0.9420996605281504,False,False
WHANGAREI DISTRICT,4137983.852561667,622.474158220621,1160278.7808322627,34808.36342496788,46411.15123329051,58013.939041613135,322658.8716669521,59438.71849916882,309297.07907076715,1893058.2572011843,837619.9091653106,544186.9405366487,171724.0764216355,622.474158220621,4137983.852561667,4.137983852561667,1160278.7808322627,1.1602787808322628,0.0464111512332905,0.0199159880115826,0.0203041389474126,0.0221005375524024,WHANGAREI DISTRICT,1.99159880115826,2.03041389474126,2.21005375524024,0.98088316195849,1.0884745031366485,True,False
GORE DISTRICT,4124921.625298516,621.708268833004,1094789.7251794224,32843.69175538267,43791.589007176895,54739.48625897113,291410.5516796403,61379.36902425542,293642.355307957,1962341.4208099127,803379.1734997821,551699.0925871893,161069.66238977876,621.708268833004,4124921.625298516,4.124921625298516,1094789.7251794224,1.0947897251794223,0.0437915890071769,0.0198914834700518,0.0202400455901731,0.0208531275698732,GORE DISTRICT,1.98914834700518,2.02400455901731,2.08531275698732,0.9827785901682686,1.0302905434164518,False,False
SELWYN DISTRICT,3797852.3982735546,605.2364023843221,898637.2111773636,26959.11633532091,35945.48844709455,44931.86055886818,240033.6767177843,88324.92327332283,331836.3568932145,1756072.7738910122,658603.5344595794,457826.6676640241,265154.46537461755,605.2364023843221,3797852.3982735546,3.797852398273555,898637.2111773636,0.8986372111773636,0.0359454884470945,0.0193644680262973,0.0186351918093091,0.0171168910090433,SELWYN DISTRICT,1.9364468026297301,1.8635191809309102,1.71168910090433,1.0391343552806305,0.9185250779384335,False,False
WESTERN BAY OF PLENTY DISTRICT,3746247.2642862727,570.1393602762987,1057493.967263568,31724.81901790704,42299.75869054272,52874.6983631784,292710.5169880315,70168.16969393325,302740.0964473825,1666304.6625384325,764783.4502755365,489340.7659688474,160199.6023741087,570.1393602762987,3746247.2642862727,3.7462472642862727,1057493.967263568,1.057493967263568,0.0422997586905427,0.0182415422620158,0.018381977237138,0.0201427325234573,WESTERN BAY OF PLENTY DISTRICT,1.8241542262015802,1.8381977237138,2.01427325234573,0.9923601812084463,1.0957870453001084,False,False
SOUTH TARANAKI DISTRICT,3536371.306314163,554.1043118424678,844696.659293036,25340.89977879108,33787.86637172144,42234.8329646518,223301.68836697165,64305.57935767647,349956.1556030564,1716266.3640446635,621394.9709260644,434750.86957738665,126395.67843834388,554.1043118424678,3536371.306314163,3.536371306314163,844696.659293036,0.844696659293036,0.0337878663717214,0.0177285027596432,0.0173521639840608,0.0160894524208259,SOUTH TARANAKI DISTRICT,1.7728502759643199,1.7352163984060798,1.6089452420825898,1.0216882906321134,0.9272303117700599,False,False
CLUTHA DISTRICT,3503162.937645409,536.8436572920551,883958.5262500417,26518.75578750125,35358.34105000167,44197.92631250209,232995.7843574031,43110.84887295876,299583.85009989707,1690486.7556003276,650962.7418926386,454356.6373853923,131666.31943679156,536.8436572920551,3503162.937645409,3.503162937645409,883958.5262500417,0.8839585262500417,0.0353583410500016,0.0171762501326735,0.0171892181254757,0.0168372971452104,CLUTHA DISTRICT,1.71762501326735,1.7189218125475698,1.6837297145210401,0.9992455740157851,0.9795266441035079,False,False
NEW PLYMOUTH DISTRICT,3186451.35092871,522.8698128912623,637134.0157966004,19114.02047389801,25485.360631864016,31856.70078983002,163571.29639094393,78540.39312589588,350404.4182215103,1573602.4405213178,473562.7194056565,356322.2183728331,190447.8648905524,522.8698128912623,3186451.35092871,3.18645135092871,637134.0157966004,0.6371340157966003,0.025485360631864,0.0167291586126697,0.015635186913157,0.0121358801648733,NEW PLYMOUTH DISTRICT,1.6729158612669701,1.5635186913157,1.21358801648733,1.0699685718878182,0.7761902836390759,False,False
WAIMAKARIRI DISTRICT,3047790.0302933934,504.4931447955505,652242.3794149912,19567.271382449737,26089.69517659965,32612.118970749565,173445.86649708485,70696.51350355554,315506.606494062,1392160.6483510495,478796.5129179064,337869.6226083669,279314.2599213681,504.4931447955505,3047790.0302933934,3.0477900302933936,652242.3794149912,0.6522423794149912,0.0260896951765996,0.016141199262625,0.014954807573574,0.0124236583807811,WAIMAKARIRI DISTRICT,1.6141199262625001,1.4954807573574,1.24236583807811,1.0793317923493326,0.8307467895965719,False,False
GISBORNE DISTRICT,3139883.170848878,499.9477273352256,732972.0002837434,21989.1600085123,29318.88001134973,36648.60001418717,193729.12693915985,81385.325937323,289468.670177198,1482533.6119800075,539242.8733445837,376390.57256334793,177132.9899072582,499.9477273352256,3139883.170848878,3.139883170848878,732972.0002837434,0.7329720002837433,0.0293188800113497,0.0159957691617092,0.0154066875200809,0.0139613647036713,GISBORNE DISTRICT,1.5995769161709201,1.5406687520080902,1.39613647036713,1.0382354507327094,0.9061886070885917,False,False
CENTRAL OTAGO DISTRICT,3072535.368262651,466.6735547544266,798846.9146038337,23965.40743811501,31953.87658415335,39942.345730191686,209715.1806728596,36303.33748936451,256922.42196987488,1475411.5927857668,589131.733930974,408071.3361545613,96979.76525924982,466.6735547544266,3072535.368262651,3.072535368262651,798846.9146038337,0.7988469146038337,0.0319538765841533,0.0149311658951112,0.0150762272789983,0.0152161243715575,CENTRAL OTAGO DISTRICT,1.49311658951112,1.50762272789983,1.52161243715575,0.9903781376333338,1.0092793170313956,False,False
ROTORUA DISTRICT,2966561.0073546087,429.3775589953328,860055.4434009755,25801.663302029265,34402.21773603902,43002.77217004878,232583.74894702123,23968.535485234723,184336.9184287932,1422862.288609277,627471.6944539542,416606.5568809948,58731.26454933353,429.3775589953328,2966561.0073546087,2.966561007354609,860055.4434009755,0.8600554434009755,0.034402217736039,0.0137378848655156,0.0145562353637548,0.0163820005485209,ROTORUA DISTRICT,1.3737884865515602,1.45562353637548,1.6382000548520899,0.9437800724027243,1.1254283912798138,False,False
DUNEDIN CITY,2710703.263443168,429.1766313633356,624952.5973593087,18748.577920779266,24998.10389437235,31247.62986796544,163546.3420684748,54328.0051163485,254901.5442892041,1308384.9461439196,461406.255290834,329314.5324675788,138821.63806680776,429.1766313633356,2710703.263443168,2.710703263443168,624952.5973593087,0.6249525973593087,0.0249981038943723,0.0137314562093904,0.0133008000193337,0.0119038532588725,DUNEDIN CITY,1.37314562093904,1.3300800019333698,1.19038532588725,1.0323782170569222,0.8949727265705346,True,False
FAR NORTH DISTRICT,2508542.869588297,412.1981170378139,523738.2333738451,15712.147001215351,20949.529334953804,26186.911668692257,136472.32964441745,75654.82155347179,294915.6012790158,1214809.7287840128,387265.90372942766,280096.1332068758,119328.3513910754,412.1981170378139,2508542.869588297,2.5085428695882968,523738.2333738451,0.5237382333738451,0.0209495293349538,0.0131882306259731,0.0123088452721078,0.0099759615409022,FAR NORTH DISTRICT,1.31882306259731,1.23088452721078,0.99759615409022,1.0714433673041623,0.8104709516097353,False,False
MANAWATU DISTRICT,2545036.6168247657,383.8542421377172,665006.6250174436,19950.198750523305,26600.265000697746,33250.33125087218,175604.3741607728,31040.218773640125,196703.18181032533,1230971.096114535,489402.2508566707,339453.5759947406,81861.91911408142,383.8542421377172,2545036.6168247657,2.5450366168247656,665006.6250174436,0.6650066250174436,0.0266002650006977,0.0122813716580028,0.0124879117307993,0.0126667867512429,MANAWATU DISTRICT,1.22813716580028,1.2487911730799302,1.26667867512429,0.9834607997518829,1.0143238536834334,False,False
TAURANGA CITY,2538127.453650063,382.90321117359457,713739.9696356533,21412.1990890696,28549.598785426133,35686.99848178267,197005.1730666317,36526.87063317867,182613.3610320472,1144524.535699331,516734.79656902165,336174.005164757,124548.7114850958,382.90321117359457,2538127.453650063,2.538127453650063,713739.9696356533,0.7137399696356533,0.0285495987854261,0.012250943533349,0.0124540100496647,0.013595040486967,TAURANGA CITY,1.2250943533349001,1.2454010049664699,1.3595040486967,0.9836946882565615,1.0916195211624244,True,False
SOUTH WAIKATO DISTRICT,2628109.140136822,382.18327962106935,743875.7337937362,22316.27201381209,29755.02935174945,37193.786689686814,197394.02477928463,30227.38367870821,160217.841292405,1273723.780367781,546481.7090144516,371086.06490577786,48978.336098413936,382.18327962106935,2628109.140136822,2.628109140136822,743875.7337937362,0.7438757337937362,0.0297550293517494,0.0122279094073859,0.0128955295746911,0.014169054765646,SOUTH WAIKATO DISTRICT,1.22279094073859,1.28955295746911,1.4169054765646,0.9482285575448194,1.0987571067615816,False,False
HOROWHENUA DISTRICT,2420545.2086886894,382.0303802628414,573893.0408663431,17216.79122599029,22955.721634653724,28694.65204331716,150517.8723659212,41129.559586875184,231728.1693350396,1152033.347185546,423375.1685004219,299872.841181227,121888.25053365833,382.0303802628414,2420545.2086886894,2.4205452086886896,573893.0408663431,0.5738930408663431,0.0229557216346537,0.0122230174102721,0.0118770609061908,0.0109312907468938,HOROWHENUA DISTRICT,1.2223017410272101,1.18770609061908,1.09312907468938,1.0291281241052637,0.9203700168950025,False,False
TARARUA DISTRICT,2451797.34571993,378.705649823266,642865.4950471334,19285.964851414003,25714.619801885336,32143.274752356672,174239.79716107465,49481.46363833932,213372.30466137463,1130202.7771407,468625.6978860587,313511.7669397235,102363.53829265888,378.705649823266,2451797.34571993,2.4517973457199296,642865.4950471334,0.6428654950471334,0.0257146198018853,0.0121166430480566,0.0120304079842112,0.0122450511455892,TARARUA DISTRICT,1.2116643048056601,1.20304079842112,1.22450511455892,1.0071680913863084,1.0178417192218003,False,False
WAIMATE DISTRICT,2351741.345819783,363.9157421872828,596263.9391507102,17887.918174521306,23850.55756602841,29813.196957535514,160280.87129458203,53383.08406901102,195407.7111055667,1107004.1136214433,435983.0678561282,299077.93495089334,100604.56292215853,363.9157421872828,2351741.345819783,2.351741345819783,596263.9391507102,0.5962639391507102,0.0238505575660284,0.0116434416801273,0.0115394561108158,0.0113574028897532,WAIMATE DISTRICT,1.16434416801273,1.15394561108158,1.13574028897532,1.009011305932698,0.9842234140574475,False,False
