tla,scr_diesel_litres,def_low_litres,def_central_litres,def_high_litres
AUCKLAND,4528224.253227087,135846.7275968126,181128.97012908346,226411.21266135434
ASHBURTON DISTRICT,2985037.5965857846,89551.12789757353,119401.50386343138,149251.87982928925
MARLBOROUGH DISTRICT,2701453.2056019246,81043.59616805773,108058.12822407698,135072.66028009623
SOUTHLAND DISTRICT,2406377.149189037,72191.3144756711,96255.08596756148,120318.85745945184
MATAMATA-PIAKO DISTRICT,1914082.9306251842,57422.48791875553,76563.31722500737,95704.14653125922
TIMARU DISTRICT,1672173.8566820328,50165.21570046098,66886.95426728131,83608.69283410165
HAMILTON CITY,1646712.6605495783,49401.379816487344,65868.50642198313,82335.63302747892
HASTINGS DISTRICT,1583852.5098125988,47515.575294377966,63354.100392503955,79192.62549062994
CHRISTCHURCH CITY,1541085.409123813,46232.562273714386,61643.41636495252,77054.27045619066
INVERCARGILL CITY,1469789.5501672623,44093.68650501787,58791.58200669049,73489.47750836312
WAIPA DISTRICT,1397914.1760574246,41937.42528172274,55916.567042296985,69895.70880287123
PALMERSTON NORTH CITY,1236150.1508692638,37084.504526077915,49446.00603477055,61807.507543463194
WAIKATO DISTRICT,1199300.4475800975,35979.013427402926,47972.0179032039,59965.02237900488
TASMAN DISTRICT,1161143.3680641192,34834.30104192358,46445.73472256477,58057.168403205964
WHANGAREI DISTRICT,1160278.7808322627,34808.36342496788,46411.15123329051,58013.939041613135
GORE DISTRICT,1094789.7251794224,32843.69175538267,43791.589007176895,54739.48625897113
WAITAKI DISTRICT,1075200.5182717298,32256.015548151892,43008.0207308692,53760.02591358649
WESTERN BAY OF PLENTY DISTRICT,1057493.967263568,31724.819017907037,42299.758690542716,52874.6983631784
SELWYN DISTRICT,898637.2111773636,26959.11633532091,35945.48844709455,44931.86055886818
CLUTHA DISTRICT,883958.5262500417,26518.75578750125,35358.34105000167,44197.92631250209
ROTORUA DISTRICT,860055.4434009755,25801.663302029265,34402.21773603902,43002.77217004878
SOUTH TARANAKI DISTRICT,844696.659293036,25340.899778791078,33787.86637172144,42234.8329646518
CENTRAL OTAGO DISTRICT,798846.9146038337,23965.40743811501,31953.87658415335,39942.345730191686
SOUTH WAIKATO DISTRICT,743875.7337937362,22316.272013812086,29755.02935174945,37193.786689686814
GISBORNE DISTRICT,732972.0002837434,21989.1600085123,29318.880011349735,36648.60001418717
TAURANGA CITY,713739.9696356533,21412.1990890696,28549.598785426133,35686.99848178267
WELLINGTON CITY,666812.3071832261,20004.369215496783,26672.492287329045,33340.615359161304
MANAWATU DISTRICT,665006.6250174436,19950.198750523305,26600.265000697742,33250.33125087218
WAIMAKARIRI DISTRICT,652242.3794149912,19567.271382449737,26089.69517659965,32612.118970749565
TARARUA DISTRICT,642865.4950471334,19285.964851414003,25714.619801885336,32143.274752356672
NEW PLYMOUTH DISTRICT,637134.0157966004,19114.02047389801,25485.360631864016,31856.70078983002
RANGITIKEI DISTRICT,635514.4188864813,19065.432566594438,25420.576755459253,31775.720944324068
DUNEDIN CITY,624952.5973593087,18748.577920779262,24998.10389437235,31247.62986796544
