tla,tier_assigned,annual_diesel_litres
AUCKLAND,Tier 3,7645116.651769234
ASHBURTON DISTRICT,Tier 3,5459894.26038391
MARLBOROUGH DISTRICT,Tier 3,4624585.353049247
SOUTHLAND DISTRICT,Tier 3,4342968.799466973
MATAMATA-PIAKO DISTRICT,Tier 3,3483992.470496148
TIMARU DISTRICT,Tier 3,3297598.192991761
AUCKLAND,Tier 4f,3293124.573685632
HAMILTON CITY,Tier 3,2714349.311917143
WAIPA DISTRICT,Tier 3,2712733.5069861393
CHRISTCHURCH CITY,Tier 3,2678477.817288878
INVERCARGILL CITY,Tier 3,2670937.3965548826
TASMAN DISTRICT,Tier 3,2514126.789736163
HASTINGS DISTRICT,Tier 3,2360288.1326715876
WAIKATO DISTRICT,Tier 3,2347670.755456335
PALMERSTON NORTH CITY,Tier 3,2271955.1311136503
ASHBURTON DISTRICT,Tier 4f,2184879.9216976
AUCKLAND,Tier 4i,2176688.707683831
WAITAKI DISTRICT,Tier 3,2094862.1031173088
MARLBOROUGH DISTRICT,Tier 4f,1971497.3738305948
GORE DISTRICT,Tier 3,1962341.4208099132
WHANGAREI DISTRICT,Tier 3,1893058.2572011845
SOUTHLAND DISTRICT,Tier 4f,1762380.420028197
SELWYN DISTRICT,Tier 3,1756072.7738910122
SOUTH TARANAKI DISTRICT,Tier 3,1716266.3640446637
CLUTHA DISTRICT,Tier 3,1690486.7556003276
WESTERN BAY OF PLENTY DISTRICT,Tier 3,1666304.6625384325
NEW PLYMOUTH DISTRICT,Tier 3,1573602.4405213178
ASHBURTON DISTRICT,Tier 4i,1496624.5384352962
GISBORNE DISTRICT,Tier 3,1482533.6119800075
CENTRAL OTAGO DISTRICT,Tier 3,1475411.5927857668
ROTORUA DISTRICT,Tier 3,1422862.288609277
MATAMATA-PIAKO DISTRICT,Tier 4f,1395793.0819458468
WAIMAKARIRI DISTRICT,Tier 3,1392160.6483510495
MARLBOROUGH DISTRICT,Tier 4i,1314367.7427374213
DUNEDIN CITY,Tier 3,1308384.9461439196
SOUTH WAIKATO DISTRICT,Tier 3,1273723.780367781
AUCKLAND,Stage V,1235099.679541455
MANAWATU DISTRICT,Tier 3,1230971.0961145347
TIMARU DISTRICT,Tier 4f,1230028.2101798523
AUCKLAND,Tier 2,1215809.87400433
FAR NORTH DISTRICT,Tier 3,1214809.7287840128
SOUTHLAND DISTRICT,Tier 4i,1209896.721893484
HAMILTON CITY,Tier 4f,1196203.2457571258
HOROWHENUA DISTRICT,Tier 3,1152033.347185546
HASTINGS DISTRICT,Tier 4f,1144877.378551261
TAURANGA CITY,Tier 3,1144524.535699331
TARARUA DISTRICT,Tier 3,1130202.7771407
CHRISTCHURCH CITY,Tier 4f,1119717.5260554994
WAIMATE DISTRICT,Tier 3,1107004.1136214433
RANGITIKEI DISTRICT,Tier 3,1092907.2570264498
INVERCARGILL CITY,Tier 4f,1075384.0682146891
WHAKATANE DISTRICT,Tier 3,1032542.8801208633
HURUNUI DISTRICT,Tier 3,1024433.7302146452
WAIPA DISTRICT,Tier 4f,1022714.1351636284
WELLINGTON CITY,Tier 3,982141.8643619801
MATAMATA-PIAKO DISTRICT,Tier 4i,947861.1375138198
ASHBURTON DISTRICT,Tier 2,930992.9626846714
PALMERSTON NORTH CITY,Tier 4f,898936.7526776416
KAIPARA DISTRICT,Tier 3,894184.9907346945
WAIKATO DISTRICT,Tier 4f,884166.0183764059
TAUPO DISTRICT,Tier 3,875074.8352043006
TIMARU DISTRICT,Tier 4i,864645.270800394
TASMAN DISTRICT,Tier 4f,855781.2728969946
HAURAKI DISTRICT,Tier 3,846723.1043178887
WHANGAREI DISTRICT,Tier 4f,837619.9091653106
OTOROHANGA DISTRICT,Tier 3,817610.2621997746
GORE DISTRICT,Tier 4f,803379.1734997821
ASHBURTON DISTRICT,Stage V,800157.6748881852
WAITAKI DISTRICT,Tier 4f,790980.1857711406
HAMILTON CITY,Tier 4i,786940.5446309667
WESTERN BAY OF PLENTY DISTRICT,Tier 4f,764783.4502755365
AUCKLAND,Unregulated,760013.6288525488
CHRISTCHURCH CITY,Tier 4i,746615.793660978
NAPIER CITY,Tier 3,744809.4074189442
INVERCARGILL CITY,Tier 4i,735664.6995918874
MARLBOROUGH DISTRICT,Stage V,729955.8317713297
HASTINGS DISTRICT,Tier 4i,729590.6997780257
THAMES-COROMANDEL DISTRICT,Tier 3,727792.7261770759
