tla,annual_diesel_litres
AUCKLAND,16627994.866371708
ASHBURTON DISTRICT,11548300.232706267
MARLBOROUGH DISTRICT,9615131.293152664
SOUTHLAND DISTRICT,9068056.144146442
MATAMATA-PIAKO DISTRICT,7232557.854348387
TIMARU DISTRICT,6884044.131514043
CHRISTCHURCH CITY,5884893.087787285
HAMILTON CITY,5809363.233345269
INVERCARGILL CITY,5592236.411996629
WAIPA DISTRICT,5534265.582287926
TASMAN DISTRICT,5331595.61090429
HASTINGS DISTRICT,5259960.6001407225
PALMERSTON NORTH CITY,4810163.628036168
WAIKATO DISTRICT,4795341.988475543
WAITAKI DISTRICT,4430342.683132398
WHANGAREI DISTRICT,4137983.852561667
GORE DISTRICT,4124921.625298516
SELWYN DISTRICT,3797852.3982735546
WESTERN BAY OF PLENTY DISTRICT,3746247.2642862727
SOUTH TARANAKI DISTRICT,3536371.306314163
CLUTHA DISTRICT,3503162.937645409
NEW PLYMOUTH DISTRICT,3186451.35092871
GISBORNE DISTRICT,3139883.170848878
CENTRAL OTAGO DISTRICT,3072535.368262651
WAIMAKARIRI DISTRICT,3047790.0302933934
ROTORUA DISTRICT,2966561.0073546087
DUNEDIN CITY,2710703.263443168
SOUTH WAIKATO DISTRICT,2628109.140136822
MANAWATU DISTRICT,2545036.6168247657
TAURANGA CITY,2538127.453650063
FAR NORTH DISTRICT,2508542.869588297
TARARUA DISTRICT,2451797.34571993
HOROWHENUA DISTRICT,2420545.2086886894
WAIMATE DISTRICT,2351741.345819783
RANGITIKEI DISTRICT,2337476.6882684147
WHAKATANE DISTRICT,2137458.978949544
WELLINGTON CITY,2092646.0661883145
HURUNUI DISTRICT,2075917.867712996
TAUPO DISTRICT,1831842.4403939235
HAURAKI DISTRICT,1830579.2605902727
KAIPARA DISTRICT,1810338.9632744922
OTOROHANGA DISTRICT,1753482.9923406693
NAPIER CITY,1552599.9340525514
THAMES-COROMANDEL DISTRICT,1538580.2898240061
CENTRAL HAWKE'S BAY DISTRICT,1400534.2712112344
QUEENSTOWN-LAKES DISTRICT,1359259.2702183127
MASTERTON DISTRICT,1261319.1786322347
MACKENZIE DISTRICT,1234564.2757044004
SOUTH WAIRARAPA DISTRICT,1186689.7250214266
STRATFORD DISTRICT,1121563.5026361325
WHANGANUI DISTRICT,1058641.6264701472
RUAPEHU DISTRICT,1055271.27113511
WAITOMO DISTRICT,937447.5132435095
CARTERTON DISTRICT,826652.6635896172
BULLER DISTRICT,748931.9635990345
GREY DISTRICT,734480.4283165991
OPOTIKI DISTRICT,728888.7409642248
WESTLAND DISTRICT,705193.1710153457
KAPITI COAST DISTRICT,697140.8817103086
NELSON CITY,690367.1495025452
,667124.7381845929
WAIROA DISTRICT,388381.04780571174
KAIKOURA DISTRICT,356117.72678555787
PORIRUA CITY,341379.92323208926
LOWER HUTT CITY,249045.79789182649
UPPER HUTT CITY,225244.06135734508
KAWERAU DISTRICT,26243.188880353613
