region_key,scenario_name,year,regional_active_licensed_count,regional_diesel_ml,regional_scr_diesel_ml,regional_def_central_ml,def_low_ml,def_high_ml,scenario_label
AUCKLAND,accelerated_modernization,2030,2522.8001626490627,18.85,8.389,0.336,0.252,0.419,Accelerated Modernisation
ASHBURTON DISTRICT,accelerated_modernization,2030,1768.537907490089,13.103,5.651,0.226,0.17,0.283,Accelerated Modernisation
MARLBOROUGH DISTRICT,accelerated_modernization,2030,1412.8133844334366,10.94,5.03,0.201,0.151,0.251,Accelerated Modernisation
SOUTHLAND DISTRICT,accelerated_modernization,2030,1365.8541558950028,10.294,4.55,0.182,0.137,0.228,Accelerated Modernisation
MATAMATA-PIAKO DISTRICT,accelerated_modernization,2030,1090.8343014353586,8.232,3.61,0.144,0.108,0.18,Accelerated Modernisation
TIMARU DISTRICT,accelerated_modernization,2030,1073.432502865356,7.801,3.227,0.129,0.097,0.161,Accelerated Modernisation
HAMILTON CITY,accelerated_modernization,2030,861.3882938515482,6.611,3.036,0.121,0.091,0.152,Accelerated Modernisation
CHRISTCHURCH CITY,accelerated_modernization,2030,910.2324161618304,6.667,2.872,0.115,0.086,0.144,Accelerated Modernisation
HASTINGS DISTRICT,accelerated_modernization,2030,771.7659136619548,5.986,2.857,0.114,0.086,0.143,Accelerated Modernisation
INVERCARGILL CITY,accelerated_modernization,2030,845.9160075431454,6.337,2.779,0.111,0.083,0.139,Accelerated Modernisation
WAIPA DISTRICT,accelerated_modernization,2030,842.1897176348002,6.276,2.679,0.107,0.08,0.134,Accelerated Modernisation
PALMERSTON NORTH CITY,accelerated_modernization,2030,742.2436245459617,5.471,2.325,0.093,0.07,0.116,Accelerated Modernisation
WAIKATO DISTRICT,accelerated_modernization,2030,733.0743901278075,5.445,2.314,0.093,0.069,0.116,Accelerated Modernisation
TASMAN DISTRICT,accelerated_modernization,2030,867.4433169845639,6.011,2.281,0.091,0.068,0.114,Accelerated Modernisation
WHANGAREI DISTRICT,accelerated_modernization,2030,622.5160584335971,4.701,2.126,0.085,0.064,0.106,Accelerated Modernisation
AUCKLAND,baseline_current_structure,2030,2522.8001626490627,16.628,4.528,0.181,0.136,0.226,Baseline
ASHBURTON DISTRICT,baseline_current_structure,2030,1768.5379074900893,11.548,2.985,0.119,0.09,0.149,Baseline
MARLBOROUGH DISTRICT,baseline_current_structure,2030,1412.8133844334366,9.615,2.701,0.108,0.081,0.135,Baseline
SOUTHLAND DISTRICT,baseline_current_structure,2030,1365.854155895003,9.068,2.406,0.096,0.072,0.12,Baseline
MATAMATA-PIAKO DISTRICT,baseline_current_structure,2030,1090.8343014353588,7.233,1.914,0.077,0.057,0.096,Baseline
TIMARU DISTRICT,baseline_current_structure,2030,1073.432502865356,6.884,1.672,0.067,0.05,0.084,Baseline
HAMILTON CITY,baseline_current_structure,2030,861.3882938515482,5.809,1.647,0.066,0.049,0.082,Baseline
HASTINGS DISTRICT,baseline_current_structure,2030,771.7659136619548,5.26,1.584,0.063,0.048,0.079,Baseline
CHRISTCHURCH CITY,baseline_current_structure,2030,910.2324161618304,5.885,1.541,0.062,0.046,0.077,Baseline
INVERCARGILL CITY,baseline_current_structure,2030,845.9160075431454,5.592,1.47,0.059,0.044,0.073,Baseline
WAIPA DISTRICT,baseline_current_structure,2030,842.1897176348002,5.534,1.398,0.056,0.042,0.07,Baseline
PALMERSTON NORTH CITY,baseline_current_structure,2030,742.2436245459617,4.81,1.236,0.049,0.037,0.062,Baseline
WAIKATO DISTRICT,baseline_current_structure,2030,733.0743901278075,4.795,1.199,0.048,0.036,0.06,Baseline
TASMAN DISTRICT,baseline_current_structure,2030,867.4433169845639,5.332,1.161,0.046,0.035,0.058,Baseline
WHANGAREI DISTRICT,baseline_current_structure,2030,622.5160584335971,4.138,1.16,0.046,0.035,0.058,Baseline
AUCKLAND,delayed_replacement,2030,2522.8001626490627,17.131,5.139,0.206,0.154,0.257,Delayed Replacement
ASHBURTON DISTRICT,delayed_replacement,2030,1768.537907490089,11.907,3.402,0.136,0.102,0.17,Delayed Replacement
